"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 25 15:06:37 GMT 2023","Tue Apr 25 15:06:40 GMT 2023","2939","tests","Interactions","TestInteractions","","","Check changed selectable list and grid",""
"passed","Tue Apr 25 15:05:23 GMT 2023","Tue Apr 25 15:05:28 GMT 2023","4761","tests","Elements","TestElements","","","Checking to update the persons info in the table",""
"passed","Tue Apr 25 15:06:46 GMT 2023","Tue Apr 25 15:06:49 GMT 2023","3037","tests","Interactions","TestInteractions","","","Check simple droppable",""
"passed","Tue Apr 25 15:06:18 GMT 2023","Tue Apr 25 15:06:24 GMT 2023","6612","tests","Elements","TestElements","","","Check enable button",""
"passed","Tue Apr 25 15:07:08 GMT 2023","Tue Apr 25 15:07:13 GMT 2023","4220","tests","Interactions","TestInteractions","","","Check simple draggable",""
"passed","Tue Apr 25 15:04:26 GMT 2023","Tue Apr 25 15:04:29 GMT 2023","2935","tests","Alerts, Frame & Windows","TestAlertsFrameWindow","","","Check the page with nested frames",""
"passed","Tue Apr 25 15:06:51 GMT 2023","Tue Apr 25 15:06:54 GMT 2023","3572","tests","Interactions","TestInteractions","","","Check accept droppable",""
"passed","Tue Apr 25 15:06:30 GMT 2023","Tue Apr 25 15:06:35 GMT 2023","4918","tests","Interactions","TestInteractions","","","Check changed sortable list and grid",""
"passed","Tue Apr 25 15:06:56 GMT 2023","Tue Apr 25 15:07:00 GMT 2023","4458","tests","Interactions","TestInteractions","","","Check prevent propogation droppable",""
"passed","Tue Apr 25 15:04:19 GMT 2023","Tue Apr 25 15:04:21 GMT 2023","2085","tests","Alerts, Frame & Windows","TestAlertsFrameWindow","","","Checking the opening of the alert with prompt",""
"passed","Tue Apr 25 15:05:40 GMT 2023","Tue Apr 25 15:05:43 GMT 2023","2979","tests","Elements","TestElements","","","Checking clicks of different types",""
"passed","Tue Apr 25 15:04:39 GMT 2023","Tue Apr 25 15:04:43 GMT 2023","4150","tests","Store","TestBookStore","","","Check user in a profile",""
"passed","Tue Apr 25 15:04:15 GMT 2023","Tue Apr 25 15:04:17 GMT 2023","2161","tests","Alerts, Frame & Windows","TestAlertsFrameWindow","","","Checking the opening of the alert with confirm",""
"passed","Tue Apr 25 15:04:35 GMT 2023","Tue Apr 25 15:04:38 GMT 2023","3212","tests","Alerts, Frame & Windows","TestAlertsFrameWindow","","","Check the page with modal dialogs (large)",""
"broken","Tue Apr 25 15:05:54 GMT 2023","Tue Apr 25 15:05:56 GMT 2023","1921","tests","Elements","TestElements","","","Check upload file",""
"passed","Tue Apr 25 15:07:14 GMT 2023","Tue Apr 25 15:07:20 GMT 2023","5780","tests","Interactions","TestInteractions","","","Check axis restricted draggable",""
"passed","Tue Apr 25 15:04:30 GMT 2023","Tue Apr 25 15:04:33 GMT 2023","2741","tests","Alerts, Frame & Windows","TestAlertsFrameWindow","","","Check the page with modal dialogs (small)",""
"passed","Tue Apr 25 15:05:29 GMT 2023","Tue Apr 25 15:05:34 GMT 2023","4342","tests","Elements","TestElements","","","Checking to remove a person from the table",""
"passed","Tue Apr 25 15:03:58 GMT 2023","Tue Apr 25 15:04:00 GMT 2023","2422","tests","Alerts, Frame & Windows","TestAlertsFrameWindow","","","Checking the opening of a new window",""
"passed","Tue Apr 25 15:04:01 GMT 2023","Tue Apr 25 15:04:03 GMT 2023","2223","tests","Alerts, Frame & Windows","TestAlertsFrameWindow","","","Checking the opening of an alert",""
